customer_id,profit,customer_name_first,customer_name_last,region,years_served
1100,0.0,Louis,Jimenez,North East,10
1146,0.0,Carolyn,Rivera,North West,5
1147,0.0,Janet,Campbell,South,3
1083,0.0,Gabriel,Chavez,North West,4
1148,0.0,Catherine,Mitchell,South East,2
1149,0.0,Maria,Carter,South West,16
1080,0.0,Billy,Richardson,East,17
1079,0.0,Bryan,Ward,West,7
1078,0.0,Jordan,Cox,North,9
1150,0.0,Heather,Roberts,North,14
1076,0.0,Dylan,Ramos,South East,3
1075,0.0,Lawrence,Howard,South,2
1074,0.0,Arthur,Kelly,North West,18
1073,0.0,Carl,Reed,North East,16
1151,0.0,Diane,Gomez,West,18
1152,0.0,Ruth,Phillips,East,13
1155,0.0,Joyce,Diaz,North West,19
1069,0.0,Gerald,Morgan,North,8
1157,0.0,Victoria,Cruz,South East,17
1159,0.0,Lauren,Collins,North,19
1160,0.0,Christina,Reyes,West,4
1065,0.0,Christian,Cook,North West,12
1161,0.0,Joan,Stewart,East,18
1063,0.0,Noah,Morales,Central,3
1162,0.0,Evelyn,Morris,Central,10
